tweet,length
attended spent good hour touring factory yes geek speaking many local people albeit poor german english possible loved tesla maybe tesla refused negative people attending sure would know maybe tiny minority actually negative factory fact remains tree planted around factory planted cut tell planted neat row extremely close one another force grow tall quickly make ideal making thing fromnnif petrol chemical factory new bmw factory petrol car understand factory producing electric car charged sun wind power infinitely better environment petrol diesel car nnoh tesla planting 3x number tree albeit mile away,608
truly sorry something like happen germany nntruly sad,53
elon e war etwas naiv von euch berhaupt deutschland zu investierenda sind leute die jahre fr ein flughafen bentigen weil die alles verhindern wollendenkt daran da fabrik umzuziehen polen italien spanien,202
leave grnheide come poland open ready dont go long way workersknowhow already lot pole working grnheide able protect infrastructure,131
could built tesla factory poland,32
time add solar storage make factory resilient event future grid outage,70
agreement actual far left action oppose progressive strawmanboogeyman left wing portrayed right winger,102
almost think actual purpose degrowth environmental claptrap fig leaf,68
yeap bumbest thing destroying thing unnecessarily,49
upset time elon,15
think attacking elon personally hater,37
basically,9
plus potential jealousy billion,31
absolutely,10
see bulgaria help recycle cable metal let access pretty cool want renovate free deconstruction haul away service night everyone asleep one inconvenienced,153
take tesla private,18
absolutely disagreed,20
new attempt harm elon financially,33
good look ze german,19
hmit might nothing protesting ev energy per sebut rather trying financially hurt shareholder,92
let revolution begin,20
sound like berlin need megapacks,32
ridculo ainda bem que j foram identificados que sejam presos e obrigados pagar o custos do reparos,98
bet car manufacturer like audi vw behind,40
human perceive value fragile,28
work someone,12
safe everybody,14
still understand tesla chosen berlin car factory city strange artist,68
example horrible humanity continue evil race better nni thankful x introducing wonderful people,95
ist extrem dumm ist extrem dummnist extrem dumm ist extrem dummnist extrem dumm ist extrem dummnist extrem dumm ist extrem dummnist extrem dumm ist extrem dummnist extrem dumm ist extrem dummnist extrem dumm ist extrem dummnist extrem dumm ist extrem dummnist extrem dumm ist extrem dummnist extrem dumm ist extrem dummnist extrem dumm ist extrem dummnist extrem dumm ist extrem dumm,383
would ask german politician whether still interested tesla employer region moment interested alleged rightwing extremism leftwing extremist,139
paid fossil fuel lobby disrupt takeover option,46
also benefit short seller think coincidence terrorism continues tsla,68
maybe could happy get grilled could easily ended worse playing high voltage,75
right,5
congratulation phenomenal,25
true get,8
would never entrap people need money would,42
new tesla model produced hw4 berlin n also chance model berlin get upgrade one shangai year nn hw4 would important thxnni waiting hw4 yearn nnagy imrenhungaryn hw4 tesla,169
know,4
agreed eco protester help get even government public support tesla nobody like extremist,88
else ecoterrorists thing afraid bingo card,42
elon plan overcome lithium battery situation long term,54
vandalism tesla owner happening daily basis horrible neighborhood week ago someone going various tesla car keying week long period ridiculous stuff happens,155
happens german become engineer,30
see eco activist day,20
tesla believer fight,20
ecoactivists,12
likely,6
one want live tiny trailer home working hard day,48
time power factory solar wind megapacks,39
optimus protection around perimeter soon,40
die sind dumm und gewissenlos hauptsache alles zerstren fr eine schande sorry,77
stop environment start power,28
deep green ideology industrial society particular technology ted kaczynski unibomber derrick jensen prominent proponent,119
probably funded german oems,27
believe environment motivationtime add megapacks,48
environment political,21
get electric much want,22
